2017,1,1,29.2
2017,1,2,43.8
2017,1,3,11.2
2017,1,4,58.3
2017,1,5,17.3
2017,1,6,1.9
2017,1,7,32.5
2017,1,8,76.2
2017,1,9,0.8
2017,1,10,8.7
2017,1,11,15.9
2017,1,12,8
2017,1,13,4.3
2017,1,14,6
2017,1,15,24.8
2017,1,16,6.7
2017,1,17,0
2017,1,18,3.5
2017,1,19,0
2017,1,20,10.1
2017,1,21,17.4
2017,1,22,0.3
2017,1,23,18
2017,1,24,17.5
2017,1,25,76
2017,1,26,18.4
2017,1,27,4
2017,1,28,0
2017,1,29,0
2017,1,30,0
2017,1,31,0
2017,2,1,74
2017,2,2,77
2017,2,3,12
2017,2,4,19
2017,2,5,23
2017,2,6,27
2017,2,7,18
2017,2,8,43
2017,2,9,7
2017,2,10,16
2017,2,11,19
2017,2,12,16
2017,2,13,12
2017,2,14,26.9
2017,2,15,73.3
2017,2,16,29.3
2017,2,17,4
2017,2,18,2
2017,2,19,21.3
2017,2,20,7
2017,2,21,29.1
2017,2,22,33.3
2017,2,23,24.4
2017,2,24,71.4
2017,2,25,4.6
2017,2,26,64.3
2017,2,27,66.6
2017,2,28,10.6
2017,3,1,6.8
2017,3,2,0.6
2017,3,3,0
2017,3,4,53.1
2017,3,5,20.1
2017,3,6,0
2017,3,7,30.1
2017,3,8,15.9
2017,3,9,6
2017,3,10,5.3
2017,3,11,2.3
2017,3,12,33
2017,3,13,25.9
2017,3,14,34.7
2017,3,15,155.5
2017,3,16,56.6
2017,3,17,5
2017,3,18,5
2017,3,19,0
2017,3,20,8.8
2017,3,21,24.7
2017,3,22,0.5
2017,3,23,0.8
2017,3,24,11.2
2017,3,25,5.8
2017,3,26,2.8
2017,3,27,0
2017,3,28,12.6
2017,3,29,2.7
2017,3,30,0
2017,3,31,29.8
2017,4,1,47.4
2017,4,2,4.8
2017,4,3,6.3
2017,4,4,12.5
2017,4,5,42
2017,4,6,59.3
2017,4,7,60.8
2017,4,8,25.7
2017,4,9,5.6
2017,4,10,36.7
2017,4,11,9.2
2017,4,12,1.4
2017,4,13,1.1
2017,4,14,1.2
2017,4,15,7.8
2017,4,16,0
2017,4,17,37.2
2017,4,18,33.5
2017,4,19,58.3
2017,4,20,7.6
2017,4,21,14
2017,4,22,6
2017,4,23,1.3
2017,4,24,16.1
2017,4,25,41.5
2017,4,26,0.5
2017,4,27,38.6
2017,4,28,2.5
2017,4,29,0
2017,4,30,0
2017,5,1,1.1
2017,5,2,0
2017,5,3,0
2017,5,4,7.8
2017,5,5,0
2017,5,6,0
2017,5,7,1.2
2017,5,8,69.5
2017,5,9,57
2017,5,10,29.3
2017,5,11,4.1
2017,5,12,45.2
2017,5,13,77.5
2017,5,14,0
2017,5,15,20.6
2017,5,16,8.1
2017,5,17,0
2017,5,18,9.8
2017,5,19,161.7
2017,5,20,8.7
2017,5,21,43.7
2017,5,22,6
2017,5,23,2.9
2017,5,24,6.2
2017,5,25,0.4
2017,5,26,8.7
2017,5,27,12.5
2017,5,28,22.9
2017,5,29,5.4
2017,5,30,0
2017,5,31,16.5
2017,6,1,0.8
2017,6,2,0
2017,6,3,0
2017,6,4,0
2017,6,5,1.5
2017,6,6,8.7
2017,6,7,9
2017,6,8,174.9
2017,6,9,24
2017,6,10,0
2017,6,11,7
2017,6,12,11.5
2017,6,13,9.6
2017,6,14,4.8
2017,6,15,0.8
2017,6,16,28.6
2017,6,17,2.9
2017,6,18,127
2017,6,19,39
2017,6,20,4.8
2017,6,21,0
2017,6,22,10.9
2017,6,23,7.6
2017,6,24,9.2
2017,6,25,29.5
2017,6,26,14.9
2017,6,27,69.9
2017,6,28,0
2017,6,29,23.9
2017,6,30,34.9
2017,7,1,3
2017,7,2,0
2017,7,3,0
2017,7,4,0.6
2017,7,5,0
2017,7,6,0.4
2017,7,7,0.5
2017,7,8,0.7
2017,7,9,0
2017,7,10,15.5
2017,7,11,16.3
2017,7,12,1.6
2017,7,13,1
2017,7,14,0
2017,7,15,19
2017,7,16,82.9
2017,7,17,41.3
2017,7,18,0
2017,7,19,0
2017,7,20,0
2017,7,21,0
2017,7,22,0
2017,7,23,0
2017,7,24,0
2017,7,25,0
2017,7,26,9.1
2017,7,27,41.3
2017,7,28,2.2
2017,7,29,3.9
2017,7,30,2.4
2017,7,31,0
2017,8,1,0
2017,8,2,0.5
2017,8,3,60.2
2017,8,4,0.8
2017,8,5,0
2017,8,6,0
2017,8,7,0
2017,8,8,32.5
2017,8,9,0.8
2017,8,10,29
2017,8,11,8.9
2017,8,12,0
2017,8,13,2.3
2017,8,14,2.7
2017,8,15,91
2017,8,16,35.5
2017,8,17,56.3
2017,8,18,3.5
2017,8,19,0
2017,8,20,36.3
2017,8,21,0
2017,8,22,0
2017,8,23,0
2017,8,24,0
2017,8,25,38.1
2017,8,26,19.6
2017,8,27,0
2017,8,28,0
2017,8,29,0
2017,8,30,0
2017,8,31,0
2017,9,1,0
2017,9,2,0
2017,9,3,5
2017,9,4,0
2017,9,5,2.2
2017,9,6,0.4
2017,9,7,7
2017,9,8,0
2017,9,9,39
2017,9,10,8.3
2017,9,11,68.4
2017,9,12,0
2017,9,13,3.1
2017,9,14,2.5
2017,9,15,7.2
2017,9,16,0.6
2017,9,17,0
2017,9,18,0
2017,9,19,0
2017,9,20,0
2017,9,21,0
2017,9,22,31.8
2017,9,23,22.1
2017,9,24,8.5
2017,9,25,0
2017,9,26,69.5
2017,9,27,19.4
2017,9,28,0
2017,9,29,28.8
2017,9,30,0
2017,10,1,2.2
2017,10,2,0
