"Plot Title: Huancaro"
"#","Date Time, GMT-05:00","Event, units (LGR S/N: 20652619, SEN S/N: 20652619)","Coupler Attached (LGR S/N: 20652619)","Host Connected (LGR S/N: 20652619)","End Of File (LGR S/N: 20652619)"
1,20-02-23 15:48:00,0.00,,,
2,20-02-23 15:49:52,1.00,,,
3,20-02-23 15:49:53,2.00,,,
4,20-02-23 15:49:54,3.00,,,
5,20-02-23 22:59:02,4.00,,,
6,20-02-23 23:04:58,5.00,,,
7,20-02-23 23:08:45,6.00,,,
8,20-02-23 23:11:48,7.00,,,
9,20-02-23 23:13:27,8.00,,,
10,20-02-23 23:16:10,9.00,,,
11,20-02-23 23:20:25,10.00,,,
12,20-02-23 23:27:54,11.00,,,
13,20-02-23 23:34:26,12.00,,,
14,20-02-23 23:44:27,13.00,,,
15,20-02-23 23:59:07,14.00,,,
16,20-02-24 00:19:15,15.00,,,
17,20-02-24 01:04:03,16.00,,,
18,20-02-24 01:43:49,17.00,,,
19,20-02-24 02:07:30,18.00,,,
20,20-02-24 04:09:09,19.00,,,
21,20-02-24 04:30:45,20.00,,,
22,20-02-24 04:47:37,21.00,,,
23,20-02-24 21:12:32,22.00,,,
24,20-02-24 21:17:44,23.00,,,
25,20-02-24 21:19:13,24.00,,,
26,20-02-24 21:20:11,25.00,,,
27,20-02-24 21:21:59,26.00,,,
28,20-02-24 21:22:41,27.00,,,
29,20-02-24 21:24:48,28.00,,,
30,20-02-24 21:25:39,29.00,,,
31,20-02-24 21:26:44,30.00,,,
32,20-02-24 21:27:18,31.00,,,
33,20-02-24 21:28:06,32.00,,,
34,20-02-24 21:28:28,33.00,,,
35,20-02-24 21:29:38,34.00,,,
36,20-02-24 21:30:30,35.00,,,
37,20-02-24 21:32:53,36.00,,,
38,20-02-24 21:35:11,37.00,,,
39,20-02-24 21:54:03,38.00,,,
40,20-02-24 21:58:34,39.00,,,
41,20-02-24 22:10:42,40.00,,,
42,20-02-24 22:21:07,41.00,,,
43,20-02-24 22:33:30,42.00,,,
44,20-02-24 22:37:19,43.00,,,
45,20-02-24 22:45:41,44.00,,,
46,20-02-24 22:51:31,45.00,,,
47,20-02-24 23:07:30,46.00,,,
48,20-02-25 00:09:47,47.00,,,
49,20-02-25 00:26:47,48.00,,,
50,20-02-25 00:39:19,49.00,,,
51,20-02-26 10:47:48,50.00,,,
52,20-02-27 02:35:03,51.00,,,
53,20-02-27 02:59:48,52.00,,,
54,20-02-27 03:19:51,53.00,,,
55,20-02-27 04:46:37,54.00,,,
56,20-02-27 05:49:40,55.00,,,
57,20-02-27 12:27:37,56.00,,,
58,20-02-27 15:16:37,57.00,,,
59,20-02-27 15:21:37,58.00,,,
60,20-02-27 15:24:45,59.00,,,
61,20-02-27 15:38:35,60.00,,,
62,20-02-28 01:52:56,61.00,,,
63,20-02-28 04:43:12,62.00,,,
64,20-02-28 05:07:55,63.00,,,
65,20-02-28 16:33:29,64.00,,,
66,20-02-29 01:55:24,65.00,,,
67,20-02-29 01:59:42,66.00,,,
